State Name,Region Name
Kentucky,South
California,West
Florida,South
North Carolina,South
Washington,West
Texas,Central
Wisconsin,Central
Utah,West
Nebraska,Central
Pennsylvania,East
Illinois,Central
Minnesota,Central
Michigan,Central
Delaware,East
Indiana,Central
New York,East
Arizona,West
Virginia,South
Tennessee,South
Alabama,South
South Carolina,South
Oregon,West
Colorado,West
Iowa,Central
Ohio,East
Missouri,Central
Oklahoma,Central
New Mexico,West
Louisiana,South
Connecticut,East
New Jersey,East
Massachusetts,East
Georgia,South
Nevada,West
Rhode Island,East
Mississippi,South
Arkansas,South
Montana,West
New Hampshire,East
Maryland,East
District of Columbia,East
Kansas,Central
Vermont,East
Maine,East
South Dakota,Central
Idaho,West
North Dakota,Central
Wyoming,West
West Virginia,East
